sharpe,drawdown,ticker
-15.249162510197511,0.3581963571344954,ADBE
-49.28727092804847,0.08047454968983368,AMD
-32.07982775805088,0.12065674642511022,ABNB
-72.94179049298099,0.06038478651655984,GOOGL
-75.27276128392518,0.05482013507739357,GOOG
-50.45738611698005,0.11750743414303552,AMZN
-130.91743402258157,0.06115114616699421,AEP
-50.39817537014023,0.13510871667294638,AMGN
-80.7115831625207,0.07494577173487622,ADI
-25.444225366683433,0.21701215613680563,ANSS
-54.60730192450425,0.049178180794625465,AAPL
-58.336175563772635,0.08307549003681187,AMAT
-8.52439914642517,0.08813079742759362,APP
-104.83087666358563,0.09605966933309369,ARM
-14.635655056060823,0.43549381553281236,ASML
-326.1730853167769,0.0164447917944742,AZN
-34.583710929620366,0.11044400606692946,TEAM
-39.07108790614278,0.1715774748186231,ADSK
-55.71236538163518,0.05631021570006112,ADP
-12.181807054746864,0.09485775111567972,AXON
-263.87133269747653,0.026162347463763773,BKR
-27.560529484588827,0.4451533980662991,BIIB
-2.1466570096700965,1.741930614816946,BKNG
-73.30796536482582,0.05388768145532888,AVGO
-51.95769188509915,0.10448756274567059,CDNS
-37.22284674552204,0.06061733862460922,CDW
-20.489869106846943,0.26177863015836644,CHTR
-81.53841648645603,0.04351992933474169,CTAS
-200.19738817155283,0.015090460482479065,CSCO
-243.2864690721533,0.018818899883849563,CCEP
-137.4493382429311,0.04835492960161083,CTSH
-267.2566151606108,0.01377294595104882,CMCSA
-25.31928178553948,0.06066839083713311,CEG
-242.06654438878743,0.011239520627092514,CPRT
-93.50730720718906,0.03653131273691974,CSGP
-15.639597873051226,0.22759046921218065,COST
-14.581566258929106,0.15497027134326616,CRWD
-357.5916534987613,0.015260992164676251,CSX
-40.97112930395434,0.0764804027135757,DDOG
-109.74929279226757,0.05688669960042891,DXCM
-41.08476829244626,0.11603702847664157,FANG
-23.717027572462992,0.1403318637020792,DASH
-67.97215837445022,0.09517399357868883,EA
-292.05442271550237,0.01862925225377757,EXC
-151.09866739334737,0.029342285632135794,FAST
-72.61131764886024,0.049295056980310115,FTNT
-149.60763701036913,0.01671451588363674,GEHC
-124.3516501099934,0.028316992541959126,GILD
-69.67742809095171,0.08585175543058078,GFS
-47.78406648253562,0.08770427193715565,HON
-18.161952152883764,0.15617026339094017,IDXX
-137.9697515288894,0.044475863500604146,INTC
-15.412116596776448,0.25421310320400375,INTU
-20.628170442429802,0.20445017045652875,ISRG
-465.49651545303976,0.00843802489723381,KDP
-15.615086453288985,0.3364119988424965,KLAC
-171.7523531618576,0.027571568792224867,KHC
-101.5715301829954,0.03813385335911955,LRCX
-36.14722524137845,0.12368061770444273,LIN
-22.81425691913619,0.24842289271836027,LULU
-50.84313215100074,0.06856868406337309,MAR
-63.63824655861429,0.05186336330421169,MRVL
-3.779653289566849,1.267159093384182,MELI
-15.198690776203728,0.1468100746370776,META
-89.00199089298124,0.06623062841257098,MCHP
-86.16541638550197,0.0430592301408823,MU
-30.402839492987937,0.13705258184111022,MSFT
-35.86319264896381,0.1835669619047269,MSTR
-301.95717698000243,0.012917688688502505,MDLZ
-6.8597208166650185,0.39990388763846574,MDB
-219.49415507211071,0.0162527975652725,MNST
-15.63500705052111,0.21632088304627722,NFLX
-68.63303217556009,0.04346747488590749,NVDA
-27.697405011558306,0.1450214474793682,NXPI
-19.630260334740882,0.1396621455608464,ORLY
-44.44419347252464,0.05290870567258369,ODFL
-64.18143588893156,0.08436087339880786,ON
-163.6187064581687,0.021434659814228395,PCAR
-46.480138557575835,0.028486166294938005,PLTR
-57.93820467343328,0.05741484830600645,PANW
-83.48993090286183,0.04088726763674706,PAYX
-33.0757858154381,0.13295072491480778,PYPL
-16.618788477857887,0.07343472169003869,PDD
-107.72896790403388,0.048598545235691855,PEP
-43.57976758161547,0.08211451461692532,QCOM
-20.798822586706414,0.25899881187961676,REGN
-27.670281048455017,0.11273629999449811,ROP
-130.8164355089374,0.06819415729710607,ROST
-97.87819031931464,0.04539464856774131,SBUX
-20.152481431856874,0.16972453800678036,SNPS
-44.305421291566354,0.06445960850650599,TTWO
-57.66114989315139,0.04494145597368911,TMUS
-16.19100603376711,0.2516095194711898,TSLA
-67.78579685465482,0.09523444970456897,TXN
-47.674162777444245,0.07953247831508667,TTD
-46.48589418228537,0.06069756190374725,VRSK
-46.797917150334214,0.09079509801682617,VRTX
-209.63635745229828,0.0510601811092235,WBD
-41.90090912484025,0.15518063611838412,WDAY
-216.5445356042317,0.03627136370212924,XEL
-22.632343074187578,0.1012845963222131,ZS
